event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
demo_event_1,demo_alex,income,Monthly salary,salary,credit,4200.0,USD,2024-07-01,2024-07-01,settled,,fixed,
demo_event_2,demo_alex,expense,Apartment rent,rent,debit,1650.0,USD,2024-07-03,2024-07-03,settled,,fixed,
demo_event_3,demo_alex,expense,Utilities,utilities,debit,140.0,USD,2024-07-05,2024-07-05,settled,,fixed,
demo_event_4,demo_alex,expense,Streaming subscription,streaming,debit,22.0,USD,2024-07-08,2024-07-08,settled,,stoppable,
demo_event_5,demo_alex,expense,Grocery shopping,groceries,debit,380.0,USD,2024-07-10,2024-07-10,settled,,fixed,
demo_event_6,demo_alex,expense,Transport,transport,debit,120.0,USD,2024-07-15,2024-07-15,settled,,fixed,
demo_event_7,demo_alex,expense,Dining out,dining,debit,210.0,USD,2024-07-20,2024-07-20,settled,,reducible,80.0
demo_event_8,demo_alex,expense,Loan payment,debt_repayment,debit,300.0,USD,2024-07-25,2024-07-25,settled,,fixed,
demo_event_9,demo_alex,income,Monthly salary,salary,credit,4200.0,USD,2024-08-01,2024-08-01,settled,,fixed,
demo_event_10,demo_alex,expense,Apartment rent,rent,debit,1650.0,USD,2024-08-03,2024-08-03,settled,,fixed,
demo_event_11,demo_alex,expense,Utilities,utilities,debit,140.0,USD,2024-08-05,2024-08-05,settled,,fixed,
demo_event_12,demo_alex,expense,Streaming subscription,streaming,debit,22.0,USD,2024-08-08,2024-08-08,settled,,stoppable,
demo_event_13,demo_alex,expense,Grocery shopping,groceries,debit,380.0,USD,2024-08-10,2024-08-10,settled,,fixed,
demo_event_14,demo_alex,expense,Transport,transport,debit,120.0,USD,2024-08-15,2024-08-15,settled,,fixed,
demo_event_15,demo_alex,expense,Dining out,dining,debit,210.0,USD,2024-08-20,2024-08-20,settled,,reducible,80.0
demo_event_16,demo_alex,expense,Loan payment,debt_repayment,debit,300.0,USD,2024-08-25,2024-08-25,settled,,fixed,
demo_event_17,demo_alex,income,Monthly salary,salary,credit,4200.0,USD,2024-09-01,2024-09-01,settled,,fixed,
demo_event_18,demo_alex,expense,Apartment rent,rent,debit,1650.0,USD,2024-09-03,2024-09-03,settled,,fixed,
demo_event_19,demo_alex,expense,Utilities,utilities,debit,140.0,USD,2024-09-05,2024-09-05,settled,,fixed,
demo_event_20,demo_alex,expense,Streaming subscription,streaming,debit,22.0,USD,2024-09-08,2024-09-08,settled,,stoppable,
demo_event_21,demo_alex,expense,Grocery shopping,groceries,debit,380.0,USD,2024-09-10,2024-09-10,settled,,fixed,
demo_event_22,demo_alex,expense,Transport,transport,debit,120.0,USD,2024-09-15,2024-09-15,settled,,fixed,
demo_event_23,demo_alex,expense,Dining out,dining,debit,210.0,USD,2024-09-20,2024-09-20,settled,,reducible,80.0
demo_event_24,demo_alex,expense,Loan payment,debt_repayment,debit,300.0,USD,2024-09-25,2024-09-25,settled,,fixed,
demo_event_25,demo_alex,income,Monthly salary,salary,credit,4200.0,USD,2024-10-01,2024-10-01,settled,,fixed,
demo_event_26,demo_alex,expense,Apartment rent,rent,debit,1650.0,USD,2024-10-03,2024-10-03,settled,,fixed,
demo_event_27,demo_alex,expense,Utilities,utilities,debit,140.0,USD,2024-10-05,2024-10-05,settled,,fixed,
demo_event_28,demo_alex,expense,Streaming subscription,streaming,debit,22.0,USD,2024-10-08,2024-10-08,settled,,stoppable,
demo_event_29,demo_alex,expense,Grocery shopping,groceries,debit,380.0,USD,2024-10-10,2024-10-10,settled,,fixed,
demo_event_30,demo_alex,expense,Transport,transport,debit,120.0,USD,2024-10-15,2024-10-15,settled,,fixed,
demo_event_31,demo_alex,expense,Dining out,dining,debit,210.0,USD,2024-10-20,2024-10-20,settled,,reducible,80.0
demo_event_32,demo_alex,expense,Loan payment,debt_repayment,debit,300.0,USD,2024-10-25,2024-10-25,settled,,fixed,
demo_event_33,demo_alex,income,Monthly salary,salary,credit,4200.0,USD,2024-11-01,2024-11-01,settled,,fixed,
demo_event_34,demo_alex,expense,Apartment rent,rent,debit,1650.0,USD,2024-11-03,2024-11-03,settled,,fixed,
demo_event_35,demo_alex,expense,Utilities,utilities,debit,140.0,USD,2024-11-05,2024-11-05,settled,,fixed,
demo_event_36,demo_alex,expense,Streaming subscription,streaming,debit,22.0,USD,2024-11-08,2024-11-08,settled,,stoppable,
demo_event_37,demo_alex,expense,Grocery shopping,groceries,debit,380.0,USD,2024-11-10,2024-11-10,settled,,fixed,
demo_event_38,demo_alex,expense,Transport,transport,debit,120.0,USD,2024-11-15,2024-11-15,settled,,fixed,
demo_event_39,demo_alex,expense,Dining out,dining,debit,210.0,USD,2024-11-20,2024-11-20,settled,,reducible,80.0
demo_event_40,demo_alex,expense,Loan payment,debt_repayment,debit,300.0,USD,2024-11-25,2024-11-25,settled,,fixed,
demo_event_41,demo_alex,income,Monthly salary,salary,credit,4200.0,USD,2024-12-01,2024-12-01,settled,,fixed,
demo_event_42,demo_alex,expense,Apartment rent,rent,debit,1650.0,USD,2024-12-03,2024-12-03,settled,,fixed,
demo_event_43,demo_alex,expense,Utilities,utilities,debit,140.0,USD,2024-12-05,2024-12-05,settled,,fixed,
demo_event_44,demo_alex,expense,Streaming subscription,streaming,debit,22.0,USD,2024-12-08,2024-12-08,settled,,stoppable,
demo_event_45,demo_alex,expense,Grocery shopping,groceries,debit,380.0,USD,2024-12-10,2024-12-10,settled,,fixed,
demo_event_46,demo_alex,expense,Transport,transport,debit,120.0,USD,2024-12-15,2024-12-15,settled,,fixed,
demo_event_47,demo_alex,expense,Dining out,dining,debit,210.0,USD,2024-12-20,2024-12-20,settled,,reducible,80.0
demo_event_48,demo_alex,expense,Loan payment,debt_repayment,debit,300.0,USD,2024-12-25,2024-12-25,settled,,fixed,
demo_event_49,demo_alex,income,Next confirmed salary,salary,credit,4200.0,USD,2025-02-01,2025-02-01,scheduled,,fixed,
demo_event_50,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-07-01,2024-07-01,settled,,fixed,
demo_event_51,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-07-15,2024-07-15,settled,,fixed,
demo_event_52,demo_sam,expense,Studio rent,rent,debit,1050.0,USD,2024-07-02,2024-07-02,settled,,fixed,
demo_event_53,demo_sam,expense,Utilities,utilities,debit,95.0,USD,2024-07-06,2024-07-06,settled,,fixed,
demo_event_54,demo_sam,expense,Gym membership,gym,debit,45.0,USD,2024-07-09,2024-07-09,settled,,stoppable,
demo_event_55,demo_sam,expense,Streaming subscription,streaming,debit,16.0,USD,2024-07-11,2024-07-11,settled,,stoppable,
demo_event_56,demo_sam,expense,Grocery shopping,groceries,debit,260.0,USD,2024-07-12,2024-07-12,settled,,fixed,
demo_event_57,demo_sam,expense,Transport,transport,debit,80.0,USD,2024-07-16,2024-07-16,settled,,fixed,
demo_event_58,demo_sam,expense,Dining out,dining,debit,150.0,USD,2024-07-21,2024-07-21,settled,,reducible,50.0
demo_event_59,demo_sam,expense,Student loan payment,education,debit,180.0,USD,2024-07-27,2024-07-27,settled,,fixed,
demo_event_60,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-08-01,2024-08-01,settled,,fixed,
demo_event_61,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-08-15,2024-08-15,settled,,fixed,
demo_event_62,demo_sam,expense,Studio rent,rent,debit,1050.0,USD,2024-08-02,2024-08-02,settled,,fixed,
demo_event_63,demo_sam,expense,Utilities,utilities,debit,95.0,USD,2024-08-06,2024-08-06,settled,,fixed,
demo_event_64,demo_sam,expense,Gym membership,gym,debit,45.0,USD,2024-08-09,2024-08-09,settled,,stoppable,
demo_event_65,demo_sam,expense,Streaming subscription,streaming,debit,16.0,USD,2024-08-11,2024-08-11,settled,,stoppable,
demo_event_66,demo_sam,expense,Grocery shopping,groceries,debit,260.0,USD,2024-08-12,2024-08-12,settled,,fixed,
demo_event_67,demo_sam,expense,Transport,transport,debit,80.0,USD,2024-08-16,2024-08-16,settled,,fixed,
demo_event_68,demo_sam,expense,Dining out,dining,debit,150.0,USD,2024-08-21,2024-08-21,settled,,reducible,50.0
demo_event_69,demo_sam,expense,Student loan payment,education,debit,180.0,USD,2024-08-27,2024-08-27,settled,,fixed,
demo_event_70,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-09-01,2024-09-01,settled,,fixed,
demo_event_71,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-09-15,2024-09-15,settled,,fixed,
demo_event_72,demo_sam,expense,Studio rent,rent,debit,1050.0,USD,2024-09-02,2024-09-02,settled,,fixed,
demo_event_73,demo_sam,expense,Utilities,utilities,debit,95.0,USD,2024-09-06,2024-09-06,settled,,fixed,
demo_event_74,demo_sam,expense,Gym membership,gym,debit,45.0,USD,2024-09-09,2024-09-09,settled,,stoppable,
demo_event_75,demo_sam,expense,Streaming subscription,streaming,debit,16.0,USD,2024-09-11,2024-09-11,settled,,stoppable,
demo_event_76,demo_sam,expense,Grocery shopping,groceries,debit,260.0,USD,2024-09-12,2024-09-12,settled,,fixed,
demo_event_77,demo_sam,expense,Transport,transport,debit,80.0,USD,2024-09-16,2024-09-16,settled,,fixed,
demo_event_78,demo_sam,expense,Dining out,dining,debit,150.0,USD,2024-09-21,2024-09-21,settled,,reducible,50.0
demo_event_79,demo_sam,expense,Student loan payment,education,debit,180.0,USD,2024-09-27,2024-09-27,settled,,fixed,
demo_event_80,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-10-01,2024-10-01,settled,,fixed,
demo_event_81,demo_sam,income,Bi-weekly paycheck,salary,credit,1450.0,USD,2024-10-15,2024-10-15,settled,,fixed,
demo_event_82,demo_sam,expense,Studio rent,rent,debit,1050.0,USD,2024-10-02,2024-10-02,settled,,fixed,
demo_event_83,demo_sam,expense,Utilities,utilities,debit,95.0,USD,2024-10-06,2024-10-06,settled,,fixed,
