event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
ev_sal_1,priya,income,Monthly salary,salary,credit,62000.0,INR,2024-11-28,2024-11-28,settled,,fixed,
ev_sal_2,priya,income,Monthly salary,salary,credit,62000.0,INR,2024-12-28,2024-12-28,settled,,fixed,
ev_sal_3,priya,income,Monthly salary,salary,credit,62000.0,INR,2025-01-28,2025-01-28,scheduled,,fixed,
ev_rent_1,priya,expense,Apartment rent,rent,debit,22000.0,INR,2024-11-05,2024-11-05,settled,,fixed,
ev_rent_2,priya,expense,Apartment rent,rent,debit,22000.0,INR,2024-12-05,2024-12-05,settled,,fixed,
ev_rent_3,priya,expense,Apartment rent,rent,debit,22000.0,INR,2025-01-05,2025-01-05,settled,,fixed,
ev_str_1,priya,expense,Streaming subscription,streaming,debit,650.0,INR,2024-11-12,2024-11-12,settled,,stoppable,
ev_str_2,priya,expense,Streaming subscription,streaming,debit,650.0,INR,2024-12-12,2024-12-12,settled,,stoppable,
ev_str_3,priya,expense,Streaming subscription,streaming,debit,650.0,INR,2025-01-12,2025-01-12,settled,,stoppable,
ev_gro_1,priya,expense,Weekly groceries,groceries,debit,3200.0,INR,2024-12-21,2024-12-21,settled,,fixed,
ev_gro_2,priya,expense,Weekly groceries,groceries,debit,3100.0,INR,2024-12-28,2024-12-28,settled,,fixed,
ev_gro_3,priya,expense,Weekly groceries,groceries,debit,3400.0,INR,2025-01-04,2025-01-04,settled,,fixed,
ev_gro_4,priya,expense,Weekly groceries,groceries,debit,3300.0,INR,2025-01-11,2025-01-11,settled,,fixed,
ev_ins_1,priya,expense,Health insurance premium,insurance,debit,4800.0,INR,2025-01-22,2025-01-22,scheduled,,fixed,
ev_ref_1,priya,income,Marketplace refund,shopping,credit,5500.0,INR,2025-01-20,2025-01-20,pending,,fixed,
